Demand_id,Path,Transponder-100,Transponder-200,Transponder-400
Vancouver-LosAngeles,"['Vancouver', 'Seattle', 'Portland', 'SanFrancisco', 'LosAngeles']",3,4,2
Vancouver-SanFrancisco,"['Vancouver', 'Seattle', 'Portland', 'SanFrancisco']",2,1,2
Vancouver-LasVegas,"['Vancouver', 'Seattle', 'Portland', 'SaltLakeCity', 'LasVegas']",0,1,0
Vancouver-SaltLakeCity,"['Vancouver', 'Seattle', 'Portland', 'SaltLakeCity']",1,1,0
Vancouver-ElPaso,"['Vancouver', 'Seattle', 'Portland', 'SaltLakeCity', 'LasVegas', 'Phoenix', 'ElPaso']",0,1,0
Vancouver-Dallas,"['Vancouver', 'Seattle', 'Portland', 'SaltLakeCity', 'Denver', 'Dallas']",2,0,1
Vancouver-Houston,"['Vancouver', 'Seattle', 'Portland', 'SaltLakeCity', 'Denver', 'Dallas', 'Houston']",1,1,1
Vancouver-OklahomaCity,"['Vancouver', 'Seattle', 'Portland', 'SaltLakeCity', 'Denver', 'KansasCity', 'OklahomaCity']",1,0,0
Vancouver-Minneapolis,"['Vancouver', 'Calgary', 'Winnipeg', 'Minneapolis']",0,0,1
Vancouver-KansasCity,"['Vancouver', 'Seattle', 'Portland', 'SaltLakeCity', 'Denver', 'KansasCity']",0,0,1
Vancouver-Denver,"['Vancouver', 'Seattle', 'Portland', 'SaltLakeCity', 'Denver']",2,0,1
Vancouver-Chicago,"['Vancouver', 'Calgary', 'Winnipeg', 'Minneapolis', 'Chicago']",1,1,1
Vancouver-Indianapolis,"['Vancouver', 'Calgary', 'Winnipeg', 'Minneapolis', 'Chicago', 'Indianapolis']",0,0,1
Vancouver-Detroit,"['Vancouver', 'Calgary', 'Winnipeg', 'Minneapolis', 'Chicago', 'Detroit']",0,0,1
Vancouver-StLouis,"['Vancouver', 'Seattle', 'Portland', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis']",0,1,0
Vancouver-Nashville,"['Vancouver', 'Calgary', 'Winnipeg', 'Minneapolis', 'Chicago', 'Indianapolis', 'Nashville']",0,1,0
Vancouver-Cleveland,"['Vancouver', 'Calgary', 'Winnipeg', 'Minneapolis', 'Chicago', 'Detroit', 'Cleveland']",0,1,0
Vancouver-NewYork,"['Vancouver', 'Calgary', 'Winnipeg', 'Minneapolis', 'Chicago', 'Detroit', 'Cleveland', 'NewYork']",4,2,1
Vancouver-Montreal,"['Vancouver', 'Calgary', 'Winnipeg', 'Minneapolis', 'Chicago', 'Detroit', 'Toronto', 'Montreal']",2,0,0
Vancouver-Charlotte,"['Vancouver', 'Calgary', 'Winnipeg', 'Minneapolis', 'Chicago', 'Indianapolis', 'Nashville', 'Charlotte']",0,1,0
Vancouver-NewOrleans,"['Vancouver', 'Seattle', 'Portland', 'SaltLakeCity', 'Denver', 'Dallas', 'Houston', 'NewOrleans']",0,0,1
Vancouver-Boston,"['Vancouver', 'Calgary', 'Winnipeg', 'Minneapolis', 'Chicago', 'Detroit', 'Cleveland', 'NewYork', 'Boston']",0,1,1
Vancouver-Atlanta,"['Vancouver', 'Calgary', 'Winnipeg', 'Minneapolis', 'Chicago', 'Indianapolis', 'Nashville', 'Atlanta']",2,1,0
Vancouver-Miami,"['Vancouver', 'Seattle', 'Portland', 'SaltLakeCity', 'Denver', 'Dallas', 'Houston', 'NewOrleans', 'Miami']",0,2,0
Vancouver-WashingtonDC,"['Vancouver', 'Calgary', 'Winnipeg', 'Minneapolis', 'Chicago', 'Detroit', 'Cleveland', 'Pittsburgh', 'WashingtonDC']",0,1,1
Vancouver-Philadelphia,"['Vancouver', 'Calgary', 'Winnipeg', 'Minneapolis', 'Chicago', 'Detroit', 'Cleveland', 'Pittsburgh', 'WashingtonDC', 'Philadelphia']",0,0,1
Vancouver-Toronto,"['Vancouver', 'Calgary', 'Winnipeg', 'Minneapolis', 'Chicago', 'Detroit', 'Toronto']",1,1,0
Vancouver-Pittsburgh,"['Vancouver', 'Calgary', 'Winnipeg', 'Minneapolis', 'Chicago', 'Detroit', 'Cleveland', 'Pittsburgh']",0,0,1
Vancouver-Cincinnati,"['Vancouver', 'Calgary', 'Winnipeg', 'Minneapolis', 'Chicago', 'Indianapolis', 'Cincinnati']",0,0,1
Vancouver-Tampa,"['Vancouver', 'Calgary', 'Winnipeg', 'Minneapolis', 'Chicago', 'Indianapolis', 'Nashville', 'Atlanta', 'Tampa']",0,0,1
Vancouver-Memphis,"['Vancouver', 'Seattle', 'Portland', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Memphis']",0,0,1
Vancouver-Winnipeg,"['Vancouver', 'Calgary', 'Winnipeg']",1,0,0
Vancouver-Calgary,"['Vancouver', 'Calgary']",1,1,0
Vancouver-Seattle,"['Vancouver', 'Seattle']",10,9,2
Vancouver-Portland,"['Vancouver', 'Seattle', 'Portland']",5,1,1
Vancouver-Sacrameto,"['Vancouver', 'Seattle', 'Portland', 'SanFrancisco', 'Sacrameto']",0,2,0
